slug,name,skynet_score,market_cap,trading_vol_24h,volume_24h_display,volume_7d_display,all_time_volume,project_age_raw,project_founded_date,token_launch_age_raw,token_launch_date,has_website,website_url,has_github,github_url,has_twitter,twitter_url,has_discord,discord_url,has_telegram,telegram_url,ecosystems,audit_3p_count,audit_3p_records,has_certik_audit,certik_audit_count,certik_last_audit_date,certik_audit_names,certik_kyc,third_party_kyc,total_proposals,max_total_votes,major_holding_ratio,owner_holding_ratio
uniswap,Uniswap,95.18,$1.90B,$480.66M,$1.66B,$8.59B,$3.71T,8 yrs 4 mos,2018-02-20,5 yrs 9 mos,2020-09-20,1,https://uniswap.org,1,https://github.com/Uniswap,1,https://twitter.com/Uniswap,1,https://discord.com/invite/FCfyBSbCU5,0,,Ethereum,6,07/16/2025|OpenZeppelin; 07/14/2025|Spearbit; 05/10/2025|Cantina; 02/24/2025|OpenZeppelin; 02/24/2025|OpenZeppelin; 02/24/2025|,No,,,,No,No,107,61M,65.51%,0.00%
virtuals-protocol,Virtuals Protocol,92.56,$387.88M,$66.79M,,,,4 yrs 7 mos,2021-11-20,2 yrs 5 mos,2024-01-20,1,https://www.virtuals.io/,1,https://github.com/Virtual-Protocol,1,https://x.com/virtuals_io,0,,1,https://t.me/virtuals,Solana | Base,3,06/04/2025|Cantina; 10/31/2024|Peckshield; 03/10/2024|Peckshield,No,,,,No,No,,,0.19%,0.00%
1inch,1inch Network,92.45,$102.80M,$9.63M,,,,7 yrs 9 mos,2018-09-20,5 yrs 5 mos,2021-01-20,1,https://1inch.io/,1,https://github.com/1inch,1,https://x.com/1inch,0,,1,https://t.me/OneInchNetwork,Avalanche | Bsc,6,07/21/2025|OpenZeppelin; 07/21/2025|OpenZeppelin; 07/03/2025|QuantStamp; 05/23/2024|OpenZeppelin; 05/23/2024|OpenZeppelin; 05/23/2024|,Yes,4,11/25/2021,1inch - Limit Order 1inch Exchange Aggregation Protocol v3 1inch Mooniswap v2 1inch Exchange,No,No,103,33M,0.00%,0.00%
hyperliquid,Hyperliquid,92.19,$16.99B,$658.03M,$226.38M,$1.26B,$156.33B,3 yrs 2 mos,2023-04-20,0 yrs 0 mos,2026-06-20,1,https://hyperliquid.xyz/,1,https://github.com/hyperliquid-dex,1,https://x.com/HyperliquidX,1,https://discord.com/invite/hyperliquid,0,,Arbitrum | Ethereum,2,11/27/2023|Zellic; 08/14/2023|Zellic,No,,,,No,No,,,,
aster,Aster,92.17,$1.68B,$269.01M,$21.93M,$91.71M,$24.36B,0 yrs 9 mos,2025-09-20,0 yrs 9 mos,2025-09-20,1,https://www.asterdex.com/en,0,,1,https://x.com/Aster_DEX,0,,1,https://t.me/AsterDEX,Bsc,6,12/17/2024|Salusec; 12/11/2024|Salusec; 12/03/2024|Peckshield; 12/02/2024|Peckshield; 09/13/2024|Salusec; 09/12/2024|,No,,,,No,No,,,87.77%,0.00%
synfutures,Synfutures,91.87,$15.91M,$2.96M,,,,5 yrs 8 mos,2020-10-20,1 yrs 7 mos,2024-11-20,1,https://www.synfutures.com/,1,https://github.com/SynFutures,1,https://x.com/SynFuturesDefi,0,,1,https://t.me/synfutures_Defi,Blast | Polygon,1,01/17/2025|QuantStamp,No,,,,No,No,,,12.71%,0.00%
pancakeswap,PancakeSwap,91.69,$436.86M,$55.55M,$892.08M,$4.85B,$2.03T,5 yrs 9 mos,2020-09-20,5 yrs 9 mos,2020-09-20,1,https://pancakeswap.finance/,1,https://github.com/pancakeswap,1,https://twitter.com/pancakeswap,1,https://discord.com/invite/pancakeswap,1,https://t.me/PancakeSwap,Bsc | Opbnb,0,,Yes,1,,,No,No,"3,740",636M,0.20%,0.00%
ston-fi,STON.fi,91.68,$20.19M,$12.72K,,,,4 yrs 1 mos,2022-05-20,2 yrs 11 mos,2023-07-20,1,https://ston.fi/,1,https://github.com/ston-fi,1,https://twitter.com/ston_fi,0,,0,,Ton | Tron,1,01/09/2025|Trailofbits,No,,,,,,,,,
dodo-dex,DODO DEX,91.62,$17.08M,$1.47M,$23.84M,$87.37M,$203.59B,5 yrs 10 mos,2020-08-20,5 yrs 8 mos,2020-10-20,1,https://dodoex.io/,1,https://github.com/DODOEX,1,https://twitter.com/BreederDodo,0,,1,https://t.me/dodoex_official,Arbitrum | Bsc,0,,Yes,5,,,No,No,23,15M,34.49%,0.00%
taiko,Taiko,90.95,$15.97M,$5.66M,,,,4 yrs 4 mos,2022-02-20,2 yrs 1 mos,2024-05-20,1,https://taiko.xyz/,1,https://github.com/taikoxyz,1,https://twitter.com/taikoxyz,0,,0,,Ethereum,1,06/26/2024|OpenZeppelin,No,,,,No,No,,,7.98%,0.00%
dodonft,DODO NFT,90.84,$17.08M,$1.47M,$30.98M,$106.64M,$203.62B,5 yrs 10 mos,2020-08-20,5 yrs 8 mos,2020-10-20,1,https://dodonft.io/,1,https://github.com/DODOEX,1,https://twitter.com/BreederDodo,0,,1,https://t.me/dodoex_official,Arbitrum | Bsc,0,,Yes,2,,,No,No,23,15M,34.49%,0.00%
shiba-swap,Shiba Swap,90.79,$2.78B,$83.34M,"$63,739.00","$546,988.00",$17.7B,5 yrs 10 mos,2020-08-20,5 yrs 10 mos,2020-08-20,1,https://shibaswap.com/,1,https://github.com/KaalDhairya/,1,https://twitter.com/Shibtoken,1,https://discord.com/invite/shibariumtech,1,https://t.me/ShibariumTechnologies,Ethereum,0,,Yes,1,,,No,No,,,35.05%,0.00%
cetus-protocol,Cetus Protocol,90.58,$17.00M,$2.39M,$12.92M,$94.75M,$84.92B,3 yrs 10 mos,2022-08-20,3 yrs 1 mos,2023-05-20,1,https://www.cetus.zone/,1,https://github.com/CetusProtocol,1,https://twitter.com/CetusProtocol,0,,0,,Sui,6,04/11/2025|Zellic; 05/16/2024|OtterSec; 04/28/2023|Movebit; 03/03/2023|OtterSec; 01/30/2023|Movebit; 12/12/2022|,Yes,3,,,No,No,,,,
mintlayer,Mintlayer,90.38,$438.89K,$119.00K,,,,7 yrs 1 mos,2019-05-20,7 yrs 1 mos,2019-05-20,1,https://www.mintlayer.org/en/,1,https://github.com/mintlayer,1,https://twitter.com/mintlayer,0,,1,https://t.me/mintlayer,Ethereum,0,,No,,,,,,,,7.80%,0.00%
curve-stablecoin,Curve Stablecoin,90.28,$207.77M,$21.70M,,,,3 yrs 1 mos,2023-05-20,3 yrs 1 mos,2023-05-20,0,,1,https://github.com/curvefi/curve-stablecoin,1,https://twitter.com/curvefinance,0,,0,,Ethereum,1,02/21/2025|Chainsecurity,No,,,,No,No,,,74.48%,0.00%
lighter,Lighter,90.02,$382.42M,$64.01M,$11.44M,$42.99M,$10.95B,9 yrs 9 mos,2016-09-20,0 yrs 7 mos,2025-11-20,1,https://lighter.xyz/,1,https://github.com/elliottech/lighter-v1-core/tree/53f59e9c38af66789d93c42ca5e986d3b573dd31,1,https://x.com/Lighter_xyz,0,,0,,Ethereum,0,,Yes,3,,,No,No,,,78.46%,0.00%
jupiter-exchange,Jupiter,89.86,$615.20M,$33.18M,"$758,801.00",$182.42M,$32.1B,4 yrs 6 mos,2021-12-20,0 yrs 0 mos,2026-06-20,1,https://jup.ag/,1,https://github.com/jup-ag,1,https://twitter.com/JupiterExchange,0,,0,,Solana,1,08/20/2024|Hashex,No,,,,No,No,,,,
sei-protocol,Sei Protocol,89.80,$384.57M,$50.98M,,,,4 yrs 3 mos,2022-03-20,0 yrs 0 mos,2026-06-20,1,https://www.seinetwork.io/,1,https://github.com/sei-protocol/sei-chain/tree/de9524bf5994234209c2f3fa14e01b3a22f9b4b5,1,https://twitter.com/SeiNetwork,0,,0,,Sei,0,,Yes,1,,,No,No,,,,
hyperion,Hyperion,89.52,$3.22M,$177.15K,$0,$8.14M,$27.65B,7 yrs 10 mos,2018-08-20,7 yrs 10 mos,2018-08-20,1,https://hyperion.xyz/,1,https://github.com/Hyperionxyz/hyperfluid-interface,1,https://x.com/hyperion_xyz,0,,1,https://t.me/hyperion_aptos,Aptos,2,04/24/2025|Exvul ; 02/19/2025|Movebit,No,,,,No,No,,,64.98%,0.00%
apeswap-finance,ApeBond,89.49,$316.66K,$550.98,,,,5 yrs 4 mos,2021-02-20,5 yrs 4 mos,2021-02-20,1,https://apeswap.finance/,1,https://github.com/apeswapfinance,1,https://x.com/ApeBond,0,,1,https://t.me/ape_swap,Bsc | Ethereum,1,01/13/2024|Cyberscope,Yes,0,,,No,No,,,31.71%,0.00%
ambire,Ambire Wallet,89.47,$12.39M,$24.88K,,,,4 yrs 4 mos,2022-02-20,4 yrs 4 mos,2022-02-20,1,https://www.ambire.com/,1,https://github.com/AmbireTech,1,https://x.com/AmbireWallet,0,,1,https://t.me/AmbireOfficial,Ethereum | Base,4,01/26/2024|Pashov; 01/26/2024|Pashov; 01/26/2024|Pashov; 08/04/2023|Code4rena,Yes,1,,,No,No,38,74M,92.46%,0.00%
iotex,IoTeX,89.44,$28.11M,$1.24M,,,,8 yrs 6 mos,2017-12-20,8 yrs 0 mos,2018-06-20,1,https://iotex.io/,1,https://github.com/iotexproject,1,https://twitter.com/iotex_io,0,,1,https://t.me/IoTeXGroup,Iotex | Polygon,0,,Yes,1,,,No,No,,,93.70%,0.00%
shade-protocol,Shade Protocol,89.14,$382.94K,$12.23K,,,,5 yrs 10 mos,2020-08-20,4 yrs 3 mos,2022-03-20,1,https://shadeprotocol.io/,1,https://github.com/securesecrets,1,https://twitter.com/Shade_Protocol,1,https://discord.com/invite/ZghjpczcQF,1,https://t.me/ShadeProtocol,Secret,0,,Yes,3,,,No,No,,,,
synthetix,Synthetix,88.95,$83.28M,$6.40M,,,,6 yrs 10 mos,2019-08-20,6 yrs 10 mos,2019-08-20,0,,1,https://github.com/synthetixio,1,https://twitter.com/synthetix,0,,0,,Ethereum,0,,No,,,,No,No,,,0.00%,0.00%
woofiswap,WOOFi Swap,88.88,$23.94M,$1.69M,$3.12M,$22.03M,$35.37B,5 yrs 8 mos,2020-10-20,5 yrs 8 mos,2020-10-20,1,https://fi.woo.org,1,https://github.com/woonetwork,1,https://twitter.com/_woo_x,0,,0,,Bsc | Polygon,0,,Yes,6,,,No,No,,,99.72%,0.00%
bonk1,Bonk,88.84,$391.78M,$32.56M,,,,3 yrs 5 mos,2023-01-20,3 yrs 5 mos,2023-01-20,1,https://www.bonkcoin.com,1,https://github.com/BonkLabs,1,https://twitter.com/bonk_inu,0,,1,https://t.me/Official_Bonk_Inu,Solana,1,04/05/2024|Cyberscope,No,,,,No,Yes,,,68.42%,0.00%
genius-terminal,Genius Terminal,88.72,$137.67M,$28.61M,,,,6 yrs 3 mos,2020-03-20,0 yrs 0 mos,2026-06-20,1,https://tradegenius.com/,0,,1,https://x.com/GeniusTerminal,0,,0,,Ethereum | Arbitrum,0,,No,,,,No,No,,,84.65%,0.00%
orca,Orca,88.55,$73.36M,$21.77M,$295.58M,$1.48B,$478.2B,5 yrs 7 mos,2020-11-20,0 yrs 0 mos,2026-06-20,1,https://www.orca.so/,1,https://github.com/orca-so,1,https://twitter.com/orca_so,0,,0,,Solana,4,02/28/2025|SEC3; 08/21/2024|OtterSec; 05/05/2022|Neodyme; 01/28/2022|Kudelski,No,,,,No,No,,,,
