network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Arbitrum One,2025-06-01,ETH,0.051389,0.01071456622918282,0.01,0.01,0.008414635580437844,0.0017544449244203556,0.0016374390590277775,0.001637439059027777,1576148
Base,2025-06-01,ETH,3119.835079281,0.03288678967007653,0.0018447296915124912,0.000402681,510.8539897031408,0.005400001300765398,0.0003176742438008366,6.643834581318893e-05,8386724
Optimism,2025-06-01,ETH,52.780526414,0.01617820971074392,0.0008019357400567165,3.52e-07,8.642499376269447,0.0026771521815635224,0.0001544767483191561,8.417188956425084e-08,732957
Polygon PoS,2025-06-01,POL,1066469.712323809,60.38553026687,35.05655754148715,25.00000002,14.84223026959289,0.0008403951231014773,0.0004881167452801526,0.00034792901546931536,2836433
zkSync Era,2025-06-01,ETH,6.5,0.056375578846306736,0.04525,0.04525,1.0643353883680557,0.009231157477827672,0.007409411742100696,0.0074094117421006946,45379
Arbitrum One,2025-06-02,ETH,0.059818,0.011991613320040062,0.01,0.01,0.009814026482478476,0.001967401295438636,0.0016406477118055558,0.0016406477118055555,1915279
Base,2025-06-02,ETH,2735.760325682,0.03373118604041934,0.0019183139630363953,0.000226015,448.8418969442695,0.00556942526605057,0.0003606349709028419,3.745799172633202e-05,8773707
Optimism,2025-06-02,ETH,47.326452253,0.01958199549135927,0.0009927906257444653,3.04e-07,7.764630543648617,0.003280617734608682,0.00020645052121090723,8.357017959207585e-08,748906
Polygon PoS,2025-06-02,POL,427885.714285708,64.88848178427885,37.35385384350272,0.000121157,5.969122008571338,0.0009052119568139813,0.0005202097055524512,1.6901730790422734e-09,3137270
zkSync Era,2025-06-02,ETH,42.64,0.14315510876780704,0.04525,0.04525,6.99572184313889,0.02348671016329187,0.00742393089592014,0.007423930895920138,52421
Arbitrum One,2025-06-03,ETH,0.032269,0.010813511890418997,0.01,0.01,0.005488531313346701,0.0018392357562321768,0.001700868112847222,0.0017008681128472215,1975161
Base,2025-06-03,ETH,6764.654795775,0.030049711672024526,0.002792910417447949,0.000596881,1150.5786243983944,0.005153944026901403,0.0005118790060545401,0.00010211977857707644,11669568
Optimism,2025-06-03,ETH,442.841827719,0.0172257249037386,0.0007499792441169732,3.19e-07,75.32160415202405,0.0030130254064853236,0.0001896501137193494,7.484600292820871e-08,816557
Polygon PoS,2025-06-03,POL,819428.571428562,93.08210077327166,44.18069531050309,25.000000028,11.58006936976177,0.0013154254337977137,0.0006235805694920895,0.0003532970958818037,3162311
zkSync Era,2025-06-03,ETH,6.5,0.05992826277673105,0.04525,0.04525,1.1055642733506945,0.010193007121520409,0.007696428210633681,0.007696428210633679,57791
Arbitrum One,2025-06-04,ETH,0.050429,0.0113675180056111,0.01,0.01,0.008618241647184723,0.0019426920442826442,0.0017089852361111112,0.0017089852361111108,1925566
Base,2025-06-04,ETH,2057.320765653,0.03827698323844406,0.006424775597849676,0.000579292,351.593120650209,0.006580604939136916,0.0011207759655392682,9.931750962039285e-05,9916445
Optimism,2025-06-04,ETH,136.694937653,0.018708614117630588,0.0006030132670674293,4.16e-07,23.360987833530416,0.0032815107048914487,0.00018230840735644174,1.5267191290704526e-07,940717
Polygon PoS,2025-06-04,POL,808531.649051969,78.1290907947747,47.647343209070975,25.000000018,11.391594429759845,0.0011007793158666524,0.0006732717654826164,0.0003522309377536063,3095533
zkSync Era,2025-06-04,ETH,35,0.0580928082717396,0.04525,0.04525,5.981448326388891,0.009927975166055742,0.007733158193402781,0.007733158193402779,54109
Arbitrum One,2025-06-05,ETH,2.181702,0.10208716608814472,0.010023866438540462,0.01,0.36548623227626253,0.017101993625748938,0.001678396422329005,0.0016752344374999996,2302730
Base,2025-06-05,ETH,6682.665823037,0.05847737364229241,0.003052089314209358,0.000492823,1119.5032272250744,0.00986168977515268,0.0005679654868161429,8.340556977524633e-05,11945920
Optimism,2025-06-05,ETH,27764.606129113,0.05417951679389292,0.0006142884263261703,4.63e-07,4651.222866868991,0.009185356524813976,0.00018019816309843982,1.1401640965026057e-07,994508
Polygon PoS,2025-06-05,POL,407580.406531959,91.10082588946244,44.22235574167761,25.000000026,5.58934674401471,0.0012493095752442623,0.0006066363311766775,0.00034283706112043935,3411948
zkSync Era,2025-06-05,ETH,6.5,0.057980266551887344,0.04525,0.04525,1.088902384375,0.009713053922320346,0.007580435829687499,0.0075804358296874975,57789
Arbitrum One,2025-06-06,ETH,0.080782,0.012924723118948803,0.01,0.01,0.01300460558914653,0.002080673002784024,0.0016098395173611117,0.0016098395173611113,2027488
Base,2025-06-06,ETH,1288.772085392,0.027030019849611474,0.0024877413366213323,0.000221707,207.47162732176943,0.004378641753789283,0.00043241480783096363,3.599655528127629e-05,10873947
Optimism,2025-06-06,ETH,160.572736394,0.017509632144006297,0.00048088985276618836,4.87e-07,25.84964060490423,0.0028618088229807005,0.00011382990676524069,1.6287786416316607e-07,963125
Polygon PoS,2025-06-06,POL,357420.291904761,100.73457021072284,51.23873935624464,25.000000024,4.8549632900734085,0.0013683124643205414,0.0006936521506972467,0.0003395836361766946,3231136
zkSync Era,2025-06-06,ETH,6.5,0.0567801297643295,0.04525,0.04525,1.0463956862847226,0.009140689669546577,0.00728452381605903,0.007284523816059028,58120
Arbitrum One,2025-06-07,ETH,0.035721,0.01055835570757613,0.01,0.01,0.005815387581412501,0.0017189029047898073,0.0016280024583333337,0.0016280024583333332,1588063
Base,2025-06-07,ETH,11465.560154843,0.025201705250159055,0.001905623820808613,0.000297114,1866.5960139323709,0.004114830789123087,0.000326426145728698,4.854518344945112e-05,8781426
Optimism,2025-06-07,ETH,91.283983882,0.00948174920332684,0.0008949950588120529,8.61e-07,14.861059118404519,0.0015638935329560504,0.0001539387948911715,1.6322540729664502e-07,1031251
Polygon PoS,2025-06-07,POL,19830530.249688983,64.47422537153733,37.41759264012334,25.000000021,278.0503615395063,0.0009040142370785527,0.000525946882830373,0.00035053319083264226,3078073
zkSync Era,2025-06-07,ETH,6.5,0.05810503512027743,0.04525,0.04525,1.0582015979166668,0.00945951400173745,0.007366711123958333,0.007366711123958331,37438
Arbitrum One,2025-06-08,ETH,0.027812,0.010234457577300514,0.01,0.01,0.004556170907870833,0.0016766121771745535,0.0016382032604166667,0.0016382032604166665,1504572
Base,2025-06-08,ETH,23100,0.030921290663904137,0.002014454345738466,0.000373495,3784.2495476139266,0.005074684446584401,0.00033970341011466294,6.146739872586252e-05,9351067
Optimism,2025-06-08,ETH,33,0.010599689219249487,0.00022223623900806166,6.14e-07,5.40610827765453,0.0017548489140215221,6.5347529764487e-05,1.226438026512226e-07,844472
Polygon PoS,2025-06-08,POL,555788.190476184,59.70817914235465,35.51265825929928,25.000000019,7.630224300823614,0.0008197129900503984,0.00048746847790736376,0.0003432163743927889,2824272
zkSync Era,2025-06-08,ETH,6.5,0.061911641134115174,0.04525,0.04525,1.0648321192708339,0.010142385236372108,0.00741286975338542,0.007412869753385418,40127
Arbitrum One,2025-06-09,ETH,0.077894,0.012228553096216652,0.01,0.01,0.012873769558031599,0.002021048791805222,0.001652729293402778,0.0016527292934027775,2007996
Base,2025-06-09,ETH,12086.007573308,0.04311672688532715,0.00757238126566872,0.000411378,1997.4899310183516,0.007158438259831057,0.0012920945380732244,6.806250849077841e-05,10641588
Optimism,2025-06-09,ETH,208.548515148,0.013026421832550324,0.0006184196859892327,4.35e-07,34.46768128374828,0.002214081511673631,0.00016608214946032247,9.622403155270997e-08,1006959
Polygon PoS,2025-06-09,POL,89151571.42857142,104.68066598684675,39.424800134089736,25.000000021,1228.6281127481177,0.0014426398439390357,0.0005423417544966189,0.0003445334989873248,3206194
zkSync Era,2025-06-09,ETH,6.5,0.05863295645376986,0.04525,0.04525,1.0742740407118059,0.009690440468996935,0.0074786000526475705,0.007478600052647569,51344
Arbitrum One,2025-06-10,ETH,0.274192,0.029279706461836665,0.010274118900727209,0.01,0.048590898197436116,0.00518879922075857,0.0018255382156556388,0.0017721486475694441,2635303
Base,2025-06-10,ETH,3280.357142857,0.05295852592709321,0.00591160258491679,0.000443074,581.3282372400888,0.009436030907363854,0.0011097876781759252,7.980048726841255e-05,10229759
Optimism,2025-06-10,ETH,76.349769388,0.020838703578678924,0.0008144480352629645,4.33e-07,13.530498500660928,0.003782737023116341,0.00020695490001314742,1.461553545492573e-07,1045324
Polygon PoS,2025-06-10,POL,578571.428571428,78.70100821426225,40.79055188789434,25.00000002,8.296473003348206,0.0011285396370126744,0.0005844908814683622,0.00035848957450554164,3187026
zkSync Era,2025-06-10,ETH,6.5,0.05928368291511243,0.04525,0.04525,1.1518966209201391,0.010505949850078865,0.008018972630251735,0.008018972630251734,62172
Arbitrum One,2025-06-11,ETH,0.191186,0.020753288933487192,0.010065810696265807,0.01,0.03481541172186459,0.0037792217986802774,0.001828521930847318,0.0018210230729166666,2404986
Base,2025-06-11,ETH,3331.305402409,0.051750051266369,0.004932499602077368,0.00046395,606.6384240316073,0.0094689059554368,0.0009351358134711711,8.581550426510837e-05,10658841
Optimism,2025-06-11,ETH,123.697489951,0.016173820448531516,0.0009201348883856482,2.965e-06,22.525617327028648,0.0030123766355505976,0.00020823798860579223,6.299134308113201e-07,1208292
Polygon PoS,2025-06-11,POL,2134566.333269687,79.5473554798982,40.36685784285493,25.000000022,31.55480726795633,0.0011759304134619207,0.0005972613318960801,0.00036956929850230424,3324024
zkSync Era,2025-06-11,ETH,6.5,0.05923003067337645,0.04525,0.04525,1.1836649973958338,0.010785925246578832,0.008240129404947918,0.008240129404947916,57504
Arbitrum One,2025-06-12,ETH,0.180308,0.014465341501715063,0.01,0.01,0.03210576825735138,0.0025757087983774686,0.001780606975694444,0.0017806069756944438,2287151
Base,2025-06-12,ETH,7481.957980111,0.052200205618053906,0.003945637878148002,0.000471123,1332.2426859304737,0.009335966229658122,0.0007597474850275772,8.642665706121948e-05,12171338
Optimism,2025-06-12,ETH,432.071796394,0.01478491015127669,0.0008305352162187643,2.879e-06,76.93503429058754,0.002705202924549139,0.00019917310631552677,5.8333870780918e-07,1197250
Polygon PoS,2025-06-12,POL,8375714.285714285,72.73970839984493,38.93624365310825,25.000000019,120.10450512008927,0.001043059300010276,0.0005581068540816663,0.00035849033620995266,3194718
zkSync Era,2025-06-12,ETH,6.5,0.05801372976438092,0.04525,0.04525,1.1573945342013887,0.010329965190459754,0.00805724656501736,0.008057246565017358,57437
Arbitrum One,2025-06-13,ETH,1.678476,0.08422088893747891,0.010500413904564283,0.01,0.27647422628596874,0.01387264703582338,0.0017287572515217093,0.0016471741406249994,2627880
Base,2025-06-13,ETH,6243.239159567,0.07122716807344738,0.005191077540270802,0.000465214,1028.3702128093068,0.011760599649148828,0.0008852980715770191,7.859303517598506e-05,10994765
Optimism,2025-06-13,ETH,1345.308124193,0.02401374422807446,0.0009442729202209626,3.691e-06,221.5957158920831,0.004009822445621874,0.00017944316258330679,6.554791485862588e-07,1144674
Polygon PoS,2025-06-13,POL,11785714.285714284,143.1080155868376,59.71456023089396,25.00000002,154.24229505208336,0.0018728868042574892,0.0007817504671004694,0.0003271806261298001,3298901
zkSync Era,2025-06-13,ETH,6.5,0.05757901880360803,0.04525,0.04525,1.0706631914062497,0.00948426708158155,0.007453462986328122,0.00745346298632812,67876
Arbitrum One,2025-06-14,ETH,0.024327,0.010190637509060012,0.01,0.01,0.004011966005896877,0.0016806219946883774,0.0016491823923611116,0.0016491823923611114,1569402
Base,2025-06-14,ETH,2939.735815289,0.025840519717073015,0.0020076383015536735,0.000486441,484.81606370363255,0.004269332618903761,0.00034104183905142035,8.035657692117831e-05,9987419
Optimism,2025-06-14,ETH,49.244855161,0.010693294025142788,0.0008671415787626565,8.44e-07,8.1213803709703,0.001776269999299349,0.00015473986183677652,1.620046060616694e-07,1019138
Polygon PoS,2025-06-14,POL,404140.430428753,58.3935143598418,37.78920134908295,25.000000025,5.278053940671878,0.0007626163961117803,0.0004927403328090889,0.00032649875813899884,3012510
zkSync Era,2025-06-14,ETH,6.5,0.05629155654844786,0.04525,0.04525,1.0719685550347218,0.009283504389834718,0.007462550325434024,0.007462550325434023,49879
Arbitrum One,2025-06-15,ETH,0.074128,0.010780998959557572,0.01,0.01,0.01222191277475278,0.0017775257515172268,0.0016487579288194448,0.0016487579288194444,1530124
Base,2025-06-15,ETH,2011.469123302,0.020819048313029994,0.0016796448074455827,0.000208565,331.6425678303092,0.0034398542179127937,0.0002846872140648284,3.462686971387403e-05,7828317
