Date,Price,Open,High,Low,Vol.,Change %
10/4/2005,1.8453,1.8453,1.8453,1.8453,,-2.30%
10/5/2005,1.765,1.765,1.765,1.765,,-4.35%
10/6/2005,1.72,1.72,1.72,1.72,,-2.55%
10/7/2005,1.74,1.74,1.74,1.74,,1.16%
10/10/2005,1.73,1.73,1.73,1.73,,-0.57%
10/11/2005,1.77,1.77,1.77,1.77,,2.31%
10/12/2005,1.7757,1.7757,1.7757,1.7757,0.02K,0.32%
10/13/2005,1.7286,1.7286,1.7286,1.7286,,-2.65%
10/14/2005,1.7044,1.7044,1.7044,1.7044,,-1.40%
10/17/2005,1.757,1.757,1.757,1.757,,3.09%
10/18/2005,1.69,1.69,1.69,1.69,,-3.81%
10/19/2005,1.6572,1.6572,1.6572,1.6572,0.04K,-1.94%
10/20/2005,1.6025,1.6025,1.6025,1.6025,,-3.30%
10/21/2005,1.645,1.645,1.645,1.645,,2.65%
10/24/2005,1.6053,1.6053,1.6053,1.6053,0.03K,-2.41%
10/25/2005,1.662,1.662,1.662,1.662,,3.53%
10/26/2005,1.6,1.6,1.6,1.6,,-3.73%
10/27/2005,1.61,1.61,1.61,1.61,,0.62%
10/28/2005,1.645,1.645,1.645,1.645,,2.17%
10/31/2005,1.5811,1.5811,1.5811,1.5811,,-3.88%
11/1/2005,1.596,1.596,1.596,1.596,,0.94%
11/2/2005,1.576,1.576,1.576,1.576,,-1.25%
11/3/2005,1.626,1.626,1.626,1.626,,3.17%
11/4/2005,1.605,1.605,1.605,1.605,,-1.29%
11/7/2005,1.579,1.579,1.579,1.579,0.00K,-1.62%
11/8/2005,1.6074,1.6074,1.6074,1.6074,0.03K,1.80%
11/9/2005,1.588,1.588,1.588,1.588,,-1.21%
11/10/2005,1.5438,1.5438,1.5438,1.5438,,-2.78%
11/11/2005,1.54,1.54,1.54,1.54,,-0.25%
11/14/2005,1.543,1.543,1.543,1.543,,0.19%
11/15/2005,1.5087,1.5087,1.5087,1.5087,,-2.22%
11/16/2005,1.5267,1.5267,1.5267,1.5267,,1.19%
11/17/2005,1.5043,1.5043,1.5043,1.5043,,-1.47%
11/18/2005,1.5023,1.5023,1.5023,1.5023,,-0.13%
11/21/2005,1.508,1.508,1.508,1.508,,0.38%
11/22/2005,1.5582,1.5582,1.5582,1.5582,,3.33%
11/23/2005,1.548,1.548,1.548,1.548,,-0.65%
11/28/2005,1.5019,1.5019,1.5019,1.5019,,-2.98%
11/29/2005,1.4806,1.4806,1.4806,1.4806,,-1.42%
11/30/2005,1.5271,1.5271,1.5271,1.5271,,3.14%
12/1/2005,1.5925,1.5925,1.5925,1.5925,,4.28%
12/2/2005,1.6313,1.6313,1.6313,1.6313,,2.44%
12/5/2005,1.615,1.615,1.615,1.615,,-1.00%
12/6/2005,1.61,1.61,1.61,1.61,,-0.31%
12/7/2005,1.5976,1.5976,1.5976,1.5976,,-0.77%
12/8/2005,1.6666,1.6666,1.6666,1.6666,0.02K,4.32%
12/9/2005,1.6399,1.6399,1.6399,1.6399,0.04K,-1.60%
12/12/2005,1.6868,1.6868,1.6868,1.6868,0.05K,2.86%
12/13/2005,1.6909,1.6909,1.6909,1.6909,,0.24%
12/14/2005,1.6857,1.6857,1.6857,1.6857,,-0.31%
12/15/2005,1.68,1.68,1.68,1.68,0.01K,-0.34%
