network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Polygon PoS,2020-05-30,POL,31.0,3.3076923076923075,1.0,1.0,4.916688855902783e-05,5.246094809027786e-06,1.5860286631944464e-06,1.5860286631944462e-06,13
Polygon PoS,2020-06-12,POL,1.0,1.0,1.0,1.0,1.3137499826388889e-06,1.3137499826388886e-06,1.3137499826388886e-06,1.3137499826388884e-06,5
Polygon PoS,2020-06-15,POL,40.0,14.0,1.0,1.0,5.175903055555554e-05,1.8115660694444438e-05,1.2939757638888885e-06,1.2939757638888885e-06,3
Polygon PoS,2020-06-16,POL,1.0,1.0,1.0,1.0,1.3284943749999995e-06,1.3284943749999995e-06,1.3284943749999995e-06,1.3284943749999995e-06,1
Polygon PoS,2020-06-18,POL,40.0,24.533333333333335,31.0,1.0,5.314873958333332e-05,3.2597893611111106e-05,4.119027317708332e-05,1.3287184895833329e-06,15
Polygon PoS,2020-06-19,POL,40.000001235,33.48461559361538,32.0,31.0,5.254672384460223e-05,4.3987669857889925e-05,4.2037377777777754e-05,4.072370972222219e-05,13
Polygon PoS,2020-06-20,POL,32.0,17.927350842250004,14.400001123,14.400001123,4.306407444444444e-05,2.4125774101947734e-05,1.937883501127986e-05,1.9378835011279857e-05,44
Polygon PoS,2020-06-21,POL,18.0,14.800000998222222,14.400001123,14.400001123,2.5868976249999986e-05,2.127004857349927e-05,2.0695182613936675e-05,2.0695182613936672e-05,9
Polygon PoS,2020-06-23,POL,14.400001123,14.400001122999997,14.400001123,14.400001123,2.093241638243761e-05,2.093241638243761e-05,2.093241638243761e-05,2.093241638243761e-05,6
Polygon PoS,2020-06-27,POL,45.0,45.0,45.0,45.0,6.1050071875e-05,6.1050071875e-05,6.1050071875e-05,6.1050071875e-05,1
Polygon PoS,2020-06-29,POL,14.400001123,14.400001123,14.400001123,14.400001123,1.8782651714785844e-05,1.8782651714785844e-05,1.8782651714785844e-05,1.8782651714785844e-05,1
Polygon PoS,2020-06-30,POL,14.400001123,14.400001123000001,14.400001123,14.400001123,1.848267994139222e-05,1.848267994139222e-05,1.848267994139222e-05,1.8482679941392215e-05,12
Polygon PoS,2020-07-02,POL,14.400001123,14.400001123,14.400001123,14.400001123,1.77874788871762e-05,1.77874788871762e-05,1.77874788871762e-05,1.77874788871762e-05,2
Polygon PoS,2020-07-03,POL,51.000000001,36.15000000035,46.0,20.0,6.24604472928914e-05,4.4273434698345314e-05,5.6336874027777776e-05,2.4494293055555554e-05,20
Polygon PoS,2020-07-04,POL,38.0,36.0,35.0,35.0,4.77934107986111e-05,4.5277968124999994e-05,4.402024678819444e-05,4.4020246788194435e-05,3
