date,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
2021-01-01,5.28e-05,8.451388776428115e-06,8.125895662347951e-06,7.500000000000001e-06,26546785
2021-01-02,4.4250000000000005e-05,9.29614129816758e-06,9.003238716749381e-06,8.65e-06,27830811
2021-01-03,6.269999999999999e-05,1.0539510826907003e-05,1.0246854343074896e-05,9e-06,29339796
2021-01-04,7.664999999999999e-05,1.1421908174888317e-05,1.1262035509347563e-05,9.5e-06,35573349
2021-01-05,6.93e-05,1.1650179762251734e-05,1.1297467390954492e-05,1.045e-05,40480134
2021-01-06,7.455e-05,1.0463882562447728e-05,1.0250909119308819e-05,9.55e-06,42664883
2021-01-07,6.1e-05,1.1603354614071015e-05,1.1363747637156995e-05,9.7e-06,43338249
2021-01-08,6.840000000000001e-05,1.465058359244603e-05,1.5269633123154725e-05,1.1000000000000001e-05,38869679
2021-01-09,9.51e-05,1.6607584979270487e-05,1.5975627253696384e-05,1.5000000000000002e-05,36030949
2021-01-10,0.0001044,1.767980253551259e-05,1.7152173102167326e-05,1.5900000000000004e-05,36896864
2021-01-11,0.00011654999999999999,1.536645601764864e-05,1.5073854386817274e-05,1.305e-05,42150052
2021-01-12,0.00011829999999999999,1.735652041935251e-05,1.6961196420789612e-05,1.54e-05,39414819
2021-01-13,0.00012215,1.770520162595142e-05,1.737334851232449e-05,1.64e-05,30929454
2021-01-14,0.00012075,1.7187083812552655e-05,1.6965842186481694e-05,1.5900000000000004e-05,43407840
2021-01-15,5.1450000000000004e-05,1.7121514498199735e-05,1.696782238422714e-05,1.64e-05,6512534
2021-01-16,0.00010410000000000001,1.7457993020578485e-05,1.7163254973166605e-05,1.645e-05,16727725
2021-01-17,0.0001246,1.8395908932634825e-05,1.7763307042517953e-05,1.67e-05,39784874
2021-01-18,8.180000000000001e-05,1.9788837263636583e-05,1.945226615941649e-05,1.83e-05,39134262
2021-01-19,7.860000000000001e-05,1.9464277871343243e-05,1.912978805054944e-05,1.8e-05,39027607
2021-01-20,7.400000000000001e-05,1.8316281461546468e-05,1.7998635333804954e-05,1.675e-05,40153932
2021-01-21,9.99e-05,1.7400295226610044e-05,1.7157802660196086e-05,1.5000000000000002e-05,40200644
2021-01-22,9.69e-05,1.6413849964019506e-05,1.6095817522170915e-05,1.27e-05,39810858
2021-01-23,0.0001062,1.7768435212399847e-05,1.7488428215288064e-05,1.66e-05,37846472
2021-01-24,7.52e-05,1.8536405637840625e-05,1.809189828758245e-05,1.7450000000000004e-05,38304048
2021-01-25,0.0001225,1.861467012756969e-05,1.8009935628906663e-05,1.7250000000000003e-05,39233384
2021-01-26,0.0001215,1.982624456238922e-05,1.9386588470532452e-05,1.855e-05,41743089
2021-01-27,0.0001116,1.9272758468760672e-05,1.870359494049253e-05,1.7650000000000002e-05,37157067
2021-01-28,0.0001358,1.9715642629556502e-05,1.9038756342903556e-05,1.805e-05,37601600
2021-01-29,0.0001281,1.9994672258629554e-05,1.881662844419326e-05,1.8200000000000002e-05,40684304
2021-01-30,8.1e-05,2.0183640395880252e-05,1.95877167916274e-05,1.8900000000000002e-05,33651890
2021-01-31,0.0001603,2.2380209482091337e-05,2.172497934799968e-05,2.0850000000000002e-05,35409038
2021-02-01,0.000138,2.1820631220173608e-05,2.1184031399172978e-05,2.0600000000000003e-05,37090511
2021-02-02,0.00018654999999999998,2.5595016490430418e-05,2.5661256843411306e-05,2.235e-05,38775696
2021-02-03,0.00018724999999999997,2.705871152812087e-05,2.61818867401119e-05,2.5300000000000002e-05,39229363
2021-02-04,0.0002051,3.0010752377180644e-05,2.943537144690257e-05,2.8100000000000002e-05,43790414
2021-02-05,0.00023449999999999998,3.425401031512921e-05,3.3726486019277804e-05,3.21e-05,48839191
2021-02-06,0.00020370000000000002,3.1008125688035024e-05,3.0274844528247663e-05,2.8550000000000003e-05,45268148
2021-02-07,0.0002055,3.210048581113182e-05,3.209464018273995e-05,2.8800000000000002e-05,42460843
2021-02-08,0.00027719999999999996,3.756485344684519e-05,3.7561602050783625e-05,3.245e-05,39887614
2021-02-09,0.00027965,4.0228285101543246e-05,3.9402354571144296e-05,3.8e-05,44472637
2021-02-10,0.0002619,4.153672147824289e-05,4.098151804328765e-05,3.83e-05,47515692
2021-02-11,0.0002703,4.6565961375842675e-05,4.579682445831318e-05,4.38e-05,46134109
2021-02-12,0.0003283,4.804856511992011e-05,4.71567516275139e-05,4.5400000000000006e-05,42960174
2021-02-13,0.0003297,4.614373229177977e-05,4.538265459168268e-05,4.325000000000001e-05,45115103
2021-02-14,0.0002757,4.4658796229293265e-05,4.371312451129108e-05,4.27e-05,45804132
2021-02-15,0.00032444999999999994,4.370730906128976e-05,4.3036192318793085e-05,3.9450000000000003e-05,46726021
2021-02-16,0.0002544,4.3375588469182906e-05,4.294729400315561e-05,3.990000000000001e-05,41225735
2021-02-17,0.00029330000000000003,4.122120351546886e-05,4.0718759989880786e-05,3.7800000000000004e-05,38364426
2021-02-18,0.00031604999999999996,4.447100162465846e-05,4.330201668065163e-05,4.110000000000001e-05,42157636
2021-02-19,0.00039969999999999996,5.193268328327768e-05,5.266707227438051e-05,4.2800000000000004e-05,55508106
2021-02-20,0.00039059999999999995,5.457330118333144e-05,5.413094598432374e-05,4.92e-05,64584810
2021-02-21,0.00038815,5.368545611536185e-05,5.239233802994241e-05,4.9600000000000006e-05,57939070
2021-02-22,0.00034264999999999995,5.2655743358940466e-05,5.26257665168906e-05,4.610000000000001e-05,37313426
2021-02-23,0.00045900000000000004,7.498597788660364e-05,7.437001375447368e-05,6.610000000000001e-05,27450598
2021-02-24,0.0005582499999999999,8.299733669290139e-05,8.117839572320101e-05,7.450000000000001e-05,50267916
2021-02-25,0.0005757499999999999,8.079975401489654e-05,8.047770841030361e-05,6.915e-05,55654563
2021-02-26,0.0004608,7.142926825448735e-05,7.010489428805224e-05,6.56e-05,50801429
2021-02-27,0.0004990999999999999,6.997278103795351e-05,6.908739280447803e-05,6.55e-05,54697284
2021-02-28,0.00042664999999999994,6.314244538420051e-05,6.164280010467558e-05,5.75e-05,52982833
2021-03-01,0.0004548,7.385078660310112e-05,7.343231151382503e-05,6.535e-05,50915256
2021-03-02,0.0005011999999999999,7.288861432950775e-05,7.235669016668769e-05,6.740000000000001e-05,45380186
2021-03-03,0.0004969999999999999,7.208710361120493e-05,7.088778824484968e-05,6.865e-05,33730392
2021-03-04,0.0004697,6.878719381801138e-05,6.755549240304648e-05,6.400000000000001e-05,30850639
2021-03-05,0.00037650000000000004,6.413331006206286e-05,6.268079369198715e-05,6.1e-05,27330732
2021-03-06,0.00043469999999999994,6.396280767102424e-05,6.202294465636149e-05,5.945000000000001e-05,28733620
2021-03-07,0.0004718,6.857429409649195e-05,6.737162657546956e-05,6.35e-05,28230770
2021-03-08,0.00048019999999999996,6.902173061102317e-05,6.759156826946371e-05,6.53e-05,31288646
2021-03-09,0.00051835,7.292608134970651e-05,7.154440094660058e-05,6.645e-05,33351514
2021-03-10,0.0005145,7.433044801433353e-05,7.295635841180289e-05,7.045e-05,30419905
2021-03-11,0.0005061,7.513251586475748e-05,7.087965268357286e-05,6.85e-05,22995910
2021-03-12,0.0005561499999999999,7.995109181748796e-05,7.786186241196564e-05,7.09e-05,22234942
2021-03-13,0.0005011999999999999,7.622784900340129e-05,7.39188064289736e-05,6.965e-05,20183794
2021-03-14,0.0005319999999999999,7.633132165820673e-05,7.333756419829472e-05,7.190000000000001e-05,20254314
2021-03-15,0.0004386,7.351829199388947e-05,7.121279306832567e-05,6.87e-05,21735673
2021-03-16,0.00042720000000000003,7.10858614224703e-05,6.825287872464274e-05,6.615000000000001e-05,20878483
2021-03-17,0.00042720000000000003,7.157686377898629e-05,6.7644389970481e-05,6.55e-05,14158129
2021-03-18,0.0004401,7.611942415123457e-05,7.116971448615043e-05,7.000000000000001e-05,10383200
2021-03-19,0.0004910499999999999,7.508510993919244e-05,7.090381794421473e-05,6.97e-05,12528693
2021-03-20,0.0004437,7.71730151361599e-05,7.271778345040434e-05,7.065000000000001e-05,12593571
2021-03-21,0.0004278,7.442301435980085e-05,6.999849255190073e-05,6.840000000000001e-05,13042016
2021-03-22,0.0004956,8.090486130450914e-05,7.850925390899419e-05,7.085e-05,18598701
2021-03-23,0.0004401,7.5571688234691e-05,7.276979745905965e-05,7.05e-05,18820529
2021-03-24,0.0004578,7.515290680627399e-05,7.281272988026946e-05,6.83e-05,17878557
2021-03-25,0.00047564999999999993,6.773557523642247e-05,6.567218368682816e-05,6.295e-05,21060470
2021-03-26,0.0004969999999999999,7.135272267791328e-05,6.996096962976465e-05,6.185e-05,18779011
2021-03-27,0.00055125,8.110895545377581e-05,7.88336351909126e-05,7.37e-05,17314544
2021-03-28,0.00067165,9.360757942613103e-05,9.047416300993282e-05,8.175000000000001e-05,16370362
2021-03-29,0.0005658,9.573817239618662e-05,9.210684190027918e-05,8.825e-05,16119085
2021-03-30,0.0007049,0.00010329407274144045,9.911056071404219e-05,9.43e-05,15270508
2021-03-31,0.0006811,9.957289912331518e-05,9.608811021759467e-05,9.130000000000001e-05,16390147
2021-04-01,0.0007038499999999999,0.00010104084905871444,9.675923893494517e-05,9.410000000000001e-05,15143688
2021-04-02,0.0006632499999999999,9.99617671885339e-05,9.572347898282816e-05,9.285000000000001e-05,13462311
2021-04-03,0.000687,0.00011263334982763323,0.00010850685791982219,9.865000000000001e-05,15225509
2021-04-04,0.0007494,0.00012461200476916696,0.0001193797824569912,0.00011190000000000001,17171238
2021-04-05,0.0007338000000000001,0.0001229351519546271,0.00011851060537655185,0.0001144,17040371
2021-04-06,0.0007383,0.0001224747482968545,0.0001170183551339356,0.00011225,18226515
2021-04-07,0.0008897,0.00013274158165676252,0.00012907726591555714,0.00011710000000000001,20132013
2021-04-08,0.0009331,0.00013796273291546092,0.00013317631499115698,0.00012875,17692464
2021-04-09,0.0008619000000000001,0.00014577427093027487,0.000141226755721755,0.00013435,17187489
2021-04-10,0.0009624999999999999,0.00014203639613166329,0.00013665897294722247,0.00013050000000000003,17323808
2021-04-11,0.0008586,0.00014080148220934954,0.00013320091018887236,0.0001284,16506608
